author,text,published_at,likes
@blackcountryaudits22,Made me cry I have an ex who has stopped me seeing my kids.,2025-11-04T23:54:28Z,0
@madmaxx7738,So deep ❤❤ love an miss you xx,2025-11-04T23:50:54Z,0
@carldavies2005,They did it again. Absolutely spot on. ABSOLUTELY. SPOT. ON.,2025-11-04T23:47:45Z,0
@shannon.b5480,"Don't get the hype of this one. It's a cute concept and if you have teenagers it gets you in the feels. But I miss when John Lewis adverts were just simply cute characters, giving off pure Christmas vibes.",2025-11-04T23:42:39Z,1
@yourpartyuk,"Weird, you're literally showing an advert as a news story, but ignoring the ruling in the Tommy Robinson case today that has potentially huge repurcussions?",2025-11-04T23:38:17Z,0
@christinebrett4825,"Reminds me of when my kids left for University. Even though I'm a Mum, it got to me as well. Beautiful advert . You grow up so quickly, then your kids. ...   Love this",2025-11-04T23:17:16Z,1
@maggiem.1539,"Great, well done agency,  at last something real in these tough times🤗",2025-11-04T22:59:31Z,0
@Mont2100,"If you have watched 'Aftersun' by Charlotte Wells, particularly the ending of that film, you will immediately recognise how much this advert owes to it for its own emotional heft and the aesthetic values of that achingly beautiful masterpiece.",2025-11-04T22:56:52Z,4
@mjwatson31,"Effing brilliant, love it",2025-11-04T22:40:04Z,0
@alfie_sub,Best advert ever made,2025-11-04T22:35:10Z,0
@BroadcastQueen,Wow! Finally! Just a BRILLIANT Christmas ad!  Has everything! Thank you John Lewis - loving the Dad love and the Alison Limerick chooooooooon!! 🤩,2025-11-04T22:33:41Z,1
@partyanthems5828,Simply brilliant!,2025-11-04T22:17:37Z,0
@zackl7109,Great! But isn’t this just frickin Aftersun??? Get some new ideas…,2025-11-04T22:02:37Z,12
@Dianne-u6t,Love it ❤,2025-11-04T21:57:57Z,0
@rovercoupe7104,I never told my Dad I loved him and that suited both of us. M,2025-11-04T21:49:44Z,0
@DJDonnelly,Not Christmasy enough,2025-11-04T21:45:37Z,0
@ndishamkala6894,made me tear up🥹💕,2025-11-04T21:38:23Z,0
@iamjustherenow,Errrr…..what?? I don’t get it.,2025-11-04T21:34:44Z,1
@lynettehughes4673,Brilliant ad.,2025-11-04T21:30:58Z,1
@robertford2719,Best one ive seen in years.,2025-11-04T21:30:08Z,0
@chrisgedge7328,Labyrinth has done a fairly decent job on the remix but the full Allison Limerick Classic Mix of “Where Loves Lives” really would have been Christmas!!!,2025-11-04T21:15:34Z,2
@tracyp107,❤❤,2025-11-04T21:10:13Z,0
@JayD-e2w,"always know your target audience! well done JL, well done.",2025-11-04T21:06:55Z,0
@Animalcarericky,Finally a UK advert without the mixed raced family 🙄,2025-11-04T21:02:24Z,13
@IDFC_DreamTeam,That’s nice. Well done John Lewis 🫶🏼,2025-11-04T20:59:52Z,0
@pipinellio,Yes yes! So much better JL!,2025-11-04T20:59:29Z,0
@garethroblyn,Best one they have done,2025-11-04T20:58:20Z,0
@anarawad6017,"Definitely one of the worst, haven't done a decent one for 5 or six years",2025-11-04T20:57:36Z,3
@videosceneadv,Great Advert,2025-11-04T20:54:40Z,0
@joesackbaron,"Finally, the hero paying for it all so that it can actually happen in the first place gets some love, rather than just being left with the dishes and clearing up the rubbish.",2025-11-04T20:53:49Z,0
@ruffionmcfoosball,😢😢,2025-11-04T20:47:53Z,0
@EmmaHilder-p2b,What a beautiful advert.,2025-11-04T20:42:48Z,3
