author,text,published_at,likes,clean_text
@paulmuaddib3470,"Absolutely beautiful,  it made me cry 👏👏👏👏👏",2025-11-06 04:44:03+00:00,0,"absolutely beautiful, it made me cry"
@tobyrouse9146,Terrific save for the excessively beige John Lewis showroom interior decoration….,2025-11-06 04:26:12+00:00,0,terrific save for the excessively beige john lewis showroom interior decoration….
@scottwaterman8837,What a wonderful and beautiful advert.,2025-11-06 01:57:32+00:00,0,what a wonderful and beautiful advert.
@KeithApp,The one with the boxer dog on the trampoline was way better!,2025-11-06 01:54:41+00:00,1,the one with the boxer dog on the trampoline was way better!
@ryanOGab,"Surely this isn't this years official one, is it not John Lewis and partners",2025-11-06 01:00:09+00:00,0,"surely this isn't this years official one, is it not john lewis and partners"
@KJ-gc8oq,Disappointing. What has it got to do with Christmas? Dysfunctional families seek help.,2025-11-05 23:43:17+00:00,0,disappointing. what has it got to do with christmas? dysfunctional families seek help.
@vaughany3,That was great to watch 😢,2025-11-05 23:40:00+00:00,0,that was great to watch
,"Great advert, what's the song?",2025-11-05 23:34:26+00:00,0,"great advert, what's the song?"
@anna145,Father's are everything ❤️,2025-11-05 23:17:13+00:00,0,father's are everything
@robertyoung76,All of us raver dad's would go back in a flash,2025-11-05 23:16:39+00:00,0,all of us raver dad's would go back in a flash
@nanunanu8745,Surprised to see this on The Grauniad ?? 😂,2025-11-05 23:03:43+00:00,0,surprised to see this on the grauniad ??
@Mkdwellar,What a great advert! Well done our father Mr John Lewis,2025-11-05 22:50:50+00:00,0,what a great advert! well done our father mr john lewis
@ACorn0894,Why did I think he was dancing with Michael Van Gerwen??,2025-11-05 22:46:10+00:00,0,why did i think he was dancing with michael van gerwen??
@Mary.Quantum426,Credit to Saatchi & Saatchi and John Lewis for one of the best Christmas ads of all time.,2025-11-05 22:42:12+00:00,0,credit to saatchi & saatchi and john lewis for one of the best christmas ads of all time.
@jaynesouthworthhacking8848,"I watched it for the first time this afternoon and I cried... I've just shown it to my husband who's got a swinging brick for a heart and doesn't get emotional at TV adverts like I do and even he had a tear in his eye ! We were ravers/clubbers in the early '90's and this tune certainly resonated with us and we could put ourselves in the position of the father in the advert, especially as our son lives in Japan... think it's an amazing Christmas advert... love it !",2025-11-05 22:37:04+00:00,1,"i watched it for the first time this afternoon and i cried... i've just shown it to my husband who's got a swinging brick for a heart and doesn't get emotional at tv adverts like i do and even he had a tear in his eye ! we were ravers/clubbers in the early '90's and this tune certainly resonated with us and we could put ourselves in the position of the father in the advert, especially as our son lives in japan... think it's an amazing christmas advert... love it !"
@Rob-q7e,"Lovely advert, had me and my misses in tears 😢 me and my daughter was at the bus 🚌 stop a few days ago.. going to hospital 🏥 for stuff going on with me and I keep strong for her and my dad walked straight pass me and her and didn’t even notice us and walked on… felt like a ghost.. his son and grand daughter… nothing😢 and my misses has never known her dad and her mum didn’t want to know and I lost my mum to cancer😢 so we are just a little family but keep tight and I/we wish every person a merry Christmas 🎄",2025-11-05 22:32:02+00:00,36,"lovely advert, had me and my misses in tears me and my daughter was at the bus stop a few days ago.. going to hospital for stuff going on with me and i keep strong for her and my dad walked straight pass me and her and didn’t even notice us and walked on… felt like a ghost.. his son and grand daughter… nothing and my misses has never known her dad and her mum didn’t want to know and i lost my mum to cancer so we are just a little family but keep tight and i/we wish every person a merry christmas"
@Plotting_Escape,Made me cry! ❤,2025-11-05 22:20:34+00:00,0,made me cry!
@darrenfrancesca9948,If you’re moved by this then go check out the movie that inspired it - Aftersun. Proper film making with a message that stays with you. I wanna thank everyone involved in Charlotte Wells’ masterpiece 🙏,2025-11-05 22:14:08+00:00,0,if you’re moved by this then go check out the movie that inspired it - aftersun. proper film making with a message that stays with you. i wanna thank everyone involved in charlotte wells’ masterpiece
@tomstorey8559,"I'm putting this out there, this is the worst Christmas ad by John Lewis for about a decade",2025-11-05 21:57:25+00:00,1,"i'm putting this out there, this is the worst christmas ad by john lewis for about a decade"
@melba10,This song may have been a hit in England but definitely not in some other European countries.,2025-11-05 21:50:28+00:00,0,this song may have been a hit in england but definitely not in some other european countries.
@Orwell8425,There back 🎉❤ 🎉,2025-11-05 21:44:29+00:00,0,there back
@filous16,One of the best ads I’ve seen.,2025-11-05 21:43:02+00:00,4,one of the best ads i’ve seen.
@DarrenCook1898,"I would give anything to see my son again we haven't spoke in 8 years i', scared of being rejected what he might say i miss him.",2025-11-05 21:33:43+00:00,0,"i would give anything to see my son again we haven't spoke in 8 years i', scared of being rejected what he might say i miss him."
@seanspringett2914,"Well done John Lewis, none boxing ticking advert, perfect in every way",2025-11-05 21:25:35+00:00,0,"well done john lewis, none boxing ticking advert, perfect in every way"
